"I got my new UN65JS8500 last Tuesday after I accidentaly broke my XBR55X850A, well accidents happens.",Sentiment,
Once you properly calibrate your set be ready to be amazed.,Sentiment,
"I watched The Dark Knight, Pacific Rim and Transformers 4: Age of Extinction, three of my favorite Reference movies on Blu Ray.",Sentiment,
I did way to many hours of research leaning towards discounted 2014 models as I'm basically done paying extra for being an early adopter of new technology.,Sentiment,
I needed a TV now and am willing to watch the price drop in the coming year.,Sentiment,
If your considering this TV my recommendation is go for it!,Sentiment,
I purchased this TV about 2 weeks ago and I can't say enough good things about it.,Sentiment,
But I will warn you it takes some time of working through all of its features before you get this picture.,Sentiment,
If you have a Xbox One or PS4 you will see a drastic difference as well.,Sentiment,
I play Destiny on Xbox One and it looks amazing.,Sentiment,
One thing you will have to do with FPS or action games is switch over to game mode every time.,Sentiment,
The other model I looked very closely at was the new Sony model in the same 55 inch set.,Sentiment,Comparison
But I have watched a fair number or blu rays the past two weeks and they look stunning.,Sentiment,
One that was particularly amazing was Lucy.,Sentiment,
This seems to be a common problem with this model.,Sentiment,
I've seen other people complain about this issue online.,Sentiment,
I filed a support ticket at Samsung.com and attached the images showing the problem.,Sentiment,
I also called Sumsung Support and referenced my online support ticket ID number.,Sentiment,
I am very pleased with the final result.,Sentiment,
I have owned the TV for 6 weeks now and it works flawlessly.,Sentiment,
I didn't even buy the TV for the 3D capability.,Sentiment,
But I am so happy I did.,Sentiment,
I bought additional open box Samsung 3D glasses online at BestBuy.com for $9.99.,Sentiment,
I normally look to upgrade every 2-3 years and this process is usually a very simple one - checkout the offerings from Sony & Samsung and select the best option.,Sentiment,
"But other advances in technology, both those that are here and those that are arriving soon (hopefully) made this process much more involved and a bit befuddling at times.",Sentiment,
What did was HDR because I believe that could be a game changer.,Sentiment,
"It also narrowed the search down to two Samsung models, the JS8500 or JS9000, and I don't think you can go wrong with either one.",Sentiment,Comparison
"But you can't upgrade the panel, so I would rather use the $500 difference in price along with the future evolution kit upgrade ($400+) and whatever you can sell the JS8500 for and put that towards a new TV when the time comes.",Sentiment,
"Anyway, it's only been a few days but so far I am extremely happy with the JS8500.",Sentiment,
But any of these can be easily upgraded and are not rating factors for me.,Sentiment,
"First, I did experience one issue with this set which was some flickering/flashlighting on the bottom of the screen that was very noticeable when watching movies in letterbox format.",Sentiment,
"process, so I loosened the 4 bottom screws by about a 1/4 turn (one needed more) and the problem has not returned.",Sentiment,
"I think most people will use this TV with one or more HDMI devices -- either an A/V receiver, set top box, Blu-Ray player, etc.",Sentiment,
"After initial setup, I got a couple of messages about problems with the HDMI connections.",Sentiment,
I think these were due to the One Connect cable being loose.,Sentiment,
"It's a tight fit, and you need to make sure it is firmly connected, with a final click.",Sentiment,
I've had the Samsung UN65JS8500 for 3 months now with no problems.,Sentiment,
I had an issue where none of the HDMI ports were working.,Sentiment,
"I thought maybe I would need a new one-connect box to fix this, but Samsung support (1) checked that I had the latest software, and (2) had me unplug the TV while it was ON; wait a bit, then re-plug it.",Sentiment,
"Hoping I was not one of those people, I ended up with that set.",Sentiment,
"bought this TV a month ago, and just returned it last week.",Sentiment,
"I can't believe that for a 2015 TV, and for this price, I would be experiencing this level of issues.",Sentiment,
"However, it has some drawbacks that might be significant to you, and there are other televisions that are much cheaper that you might consider.",Sentiment,
"You can still enjoy the content, as the screen can get very bright, but if you are bothered by this be aware.",Sentiment,
"so if you have a large room where people will be seated far off to the side, be aware, the screen gets very washed out unless you sit in front of it.",Sentiment,
"So, overall for me this was a good purchase, but there are definitely drawbacks that might be important enough for you to not consider this.",Sentiment,
I would check that out for sure and decide which is best for your preferences.,Sentiment,
IMO comparable Sony's or LG's are not worth considering.,Sentiment,
