There is no way to send audio out of this tv to a soundbar or AV receiver.,Enhancement
Remote buttons could have been bigger.,Enhancement
Better viewing angles would be nice.,Enhancement
Setup experience needs to be improved.,Enhancement
Needs more audio output ports.,Enhancement
A better way needs to exist for mounting this on the wall.,Enhancement
Why does this TV not come with WiFi?,Enhancement
A larger display would have been better,Enhancement
The setup instructions could have been clearer and less confusing.,Enhancement
The TV should be lighter than it currently is so that it is easier to mount,Enhancement
It should learn my favorite channels over time.,Enhancement
Great TV but would really benefit from a sturdier base.,Enhancement
If this TV had more apps I'd pay so much more for it.,Enhancement
I wish it had actual buttons on the screen to control it.,Enhancement
The remote should be made bigger since it's too easily lost right now.,Enhancement
Remote design needs to be more intuitive,Enhancement
More color options would be great.,Enhancement
A thinner bezel would make this the complete package.,Enhancement
I wish they offered this in 4K resolution.,Enhancement
Adding bluetooth connectivity would be amazing!,Enhancement
Being able to control this from my phone would be a great feature.,Enhancement
A thinner screen would be nice.,Enhancement
A better way to change display settings that is faster and more intuitive would be a huge bonus.,Enhancement
Different screen modes for gaming vs. movies vs. everyday TV would be a nice addition,Enhancement
Customer service being done by a person instead of a robot would have made the experience 100 times better.,Enhancement
I wish I could watch Netflix in PIP,Enhancement
I wish I had the ability to stream my own content from my PC without wires.,Enhancement
More connectivity options are needed.,Enhancement
Adding a harddrive into the TV would be a good touch.,Enhancement
"this needs to be designed better, it is just too ugly right now.",Enhancement
Instructions for use should be clearer.,Enhancement
A higher refresh rate would put this TV in a much more premium category.,Enhancement
They need to reduce motion blur in the next model they release,Enhancement
Thinner bezels please!,Enhancement
Please add an internet browser and keyboard support!,Enhancement
Reducing lag would be my number one concern when releasing the new model,Enhancement
Adding speakers that actually sound good would make this the ultimate purchase,Enhancement
I would really like to see more focus on the build quality.,Enhancement
The settings menu's really should be cleaned up and simplified,Enhancement
Voice controls would be a welcome addition!,Enhancement
Adding a camera for Skype would be really cool.,Enhancement
A more polished OS would make this perfect.,Enhancement
"The remote is pretty lightweight and feels somewhat ""cheap.""",Feature
Something that sounds small but will drive you nuts is the remote.,Feature
don't like the start up lag time.,Feature
native set sound quality isn't very good,Feature
terrible Android TV experience,Feature
Clearly their software is buggy and somehow messes up the Audio out.,Feature
 Sharp only lets you access the internet sites they picked - NO WEB BROWSING You can not access Amazon Prime,Feature
Buggy and troubled setup,Feature
The tv has really weak sound to begin with and you have to adjust it when switching from tv to other devices.,Feature
volume control sucks,Feature
 The stand consists of two flmsy plastic legs that are very likely to break off,Feature
the color on this model and the ability to adjust it leaves much to be desired.,Feature
"The built in Wi-Fi was poor,",Feature
Horrible audio quality,Feature
Poorly made. WiFi card is not grounded/will not connect to your wireless and there is no ethernet port to bypass this issue. ,Feature
We are lucky to get connected to our wifi at all on these and then the signal is perpetually dropped. ,Feature
"Over all it seems nice, but the motion blur engine is not quite up to par and you will notice some artifacts on live sports and news broadcast",Feature
The remote that comes with this unit is the worse remote I've ever owned.,Feature
Unfortunately there is noticeable input lag.,Feature
EXTREMELY slow and takes FOREVER to boot up after being turned on.,Feature
Very Poor Remote...takes a very long time to go between channels.,Feature
Terrible glare from light behind or from side.,Feature
Buggy smart software that crashes and reboots irregularly.,Feature
The most remarkable quality I've found with the television is its theater-like picture.,Feature
Set up is pretty much self explanatory and you have a minimal amount of selections to make and the TV does the rest to set itself up.,Feature
"I am impressed with the resolution and clarity, since this is a brand I haven't heard of. Visually very impressive, good clean resolution.",Feature
"The menu on the tv is easy as pie to navigate, with a nice sized remote with a clean simple layout.",Feature
" For me, it shows a decent enough clear screen for what I watch.",Feature
"This TV is awesome its easy to assemble and has very good audio,",Feature
"Low glare, excellent picture quality. We use this in a dorm lobby and sound is great! Definitely a good product for the price; especially in a place where we have to replace TV's regularly due to vandalism!",Feature
"The bezel is thin, and sexy. The set itself not thick depth-wise, but not too thin either. It weighs about 55 pounds and is easy to move around. ",Feature
"The TV is very good-looking, nice thin bezel, easy to assemble, and very light. ",Feature
Awesome TV! Great picture. Awesome veiwing angle. This TV is huge!,Feature
"Very crisp picture, even better with a Sony Bluray player. I have always liked Vizio, simply because of their customer support.",Feature
You can up-scale any video to have simulated 3D.,Feature
The 3D image is beyond compare. It is essentially the same as Real 3D in the movie theaters (in fact Real 3D glasses work with it). ,Feature
Fastest ON TV I've seen in a long time,Feature
