I also called Sumsung Support and referenced my online support ticket ID number.,Customer Service,
"After speaking to several people and being disconnected once, Samsung arranged to have a local authorized repair technician come to my house and replace the TV screen on November 17.",Customer Service,
I was on the phone for a total of two hours with Samsung and their agents to get the entire problem resolved.,Customer Service,
"I thought maybe I would need a new one-connect box to fix this, but Samsung support (1) checked that I had the latest software, and (2) had me unplug the TV while it was ON; wait a bit, then re-plug it.",Customer Service,
"Contacted Samsung and they deemed it to have ""physical damage"" from shipping and refused to repair it.",Customer Service,
Their customer service is beyond horrible.,Customer Service,
They will do everything possible to deny a warranty claim.,Customer Service,
"If you were to order this tv directly through samsung's website, it'll ship w/in 1-3 business days, but the part that's essential to the tvs functionality takes anywhere from 5-15 business days?",Customer Service,
No problem getting it hooked up but Samsung helped me with the final setup.,Customer Service,
Very kind personnel to work with,Customer Service,
"Created a service request and was called the next morning, the robot-person on the phone asked me to repeat all of the above, it's like they didn't hear the entire story I just told them.",Customer Service,
Then then said they would be closing the service request and sending me an e-mail with troubleshooting steps (literally the same as I had already performed) and I will need to watch my TV on these settings (lvl 7 backlight) for 2-3 WEEKS and then it's MY responsibility to call them back and reference the closed service request ticket.,Customer Service,
Service is absolutely terrible.,Customer Service,
The service was fast and excellent.,Customer Service,
I was listening to Sirius radio and had it on 75 and it was clear and loud for a TV.,Customer Service,
Samsung has the best ever customer service people on their team that I have ever had the pleasure of dealing with!!,Customer Service,
"Had to call customer service for some help, they were not overly friendly.",Customer Service,
The TCL Customer service reps were rather clipped in response to questions.,Customer Service,
I spent hours on the phone with their customer service who immediately placed the blame on my internet service and would not deviate from that script.,Customer Service,
Talking to their customer service it was obvious they were not about to go off their script or have anyone come service the TV.,Customer Service,
I think their customer service is designed to deny any issues and delay any real service calls until the TV is out of warranty.,Customer Service,
I called TCL customer support they told me to check if it was on MUTE .. Of course it was not the TV was broken so i had to return it,Customer Service,
customer service I explained I have work and school and cannot stay home to return it she said okay I will receive a refund but I never received one,Customer Service,
"Customer service, however, was fantastic. Returning my first TV was easy, and I was immediately sent another that works beautifully.",Customer Service,
Set up takes a little while - don't hesitate to call their customer service if you have any issues they were awesome (I wasn't scrolling far enough to see what I needed).,Customer Service,
The TCL company send an email telling me to contact them and they would tell me how to use this television but I think because of the weekend I have not had a reply as yet.,Customer Service,
"My husband had a few questions so he had to call customer service twice and he said they had the best customer service he's ever dealt with, and in the 63 years he's lived he's dealt with a lot of customer service.",Customer Service,
"CL customer service was great, and they sent a brand new TV along with a technician to set it up, and take back the defective one.",Customer Service,
Really disappointed with this product and the customer service.,Customer Service,
It I've been tossed from TCL customer service to Roku customer service to Xfinity customer service - seriously wasted 5 hours of my life!,Customer Service,
"called TCL customer service (who were very prompt and helpful by the way) and they stated that this model (28in) only has 2, but all other models have 4 mounting screw points on the back side.",Customer Service,
